iter	Passed	Remaining
401	57558	85622
402	57742	85539
403	57860	85357
404	58018	85236
405	58190	85135
406	58316	84966
407	58523	84915
408	58583	84652
409	58721	84502
410	58830	84309
411	58885	84040
412	59166	84093
413	59290	83923
414	59298	83588
415	59405	83395
416	59696	83460
417	59775	83227
418	59856	82999
419	60114	83015
420	60292	82920
421	60419	82754
422	60463	82476
423	60554	82263
424	60751	82192
425	60911	82073
426	60940	81776
427	61098	81654
428	61167	81413
429	61253	81196
430	61404	81065
431	61494	80854
432	61563	80615
433	61743	80523
434	61878	80371
435	61971	80165
436	62137	80054
437	62293	79928
438	62504	79875
439	62754	79869
440	62942	79783
441	63168	79747
442	63310	79603
443	63324	79298
444	63553	79263
445	63782	79228
446	63942	79106
447	64152	79045
448	64272	78873
449	64307	78597
450	64336	78316
451	64346	78012
452	64396	77758
453	64457	77519
454	64516	77278
455	64681	77164
456	64888	77099
457	65085	77023
458	65225	76877
459	65447	76829
460	65568	76662
461	65630	76427
462	65911	76445
463	66059	76310
464	66141	76098
465	66291	75965
466	66454	75845
467	66628	75739
468	66819	75652
469	66930	75474
470	67093	75355
471	67248	75226
472	67286	74968
473	67457	74857
474	67701	74827
475	67775	74610
476	67926	74476
477	68082	74348
478	68286	74273
479	68458	74163
480	68594	74013
481	68719	73852
482	68819	73663
483	68984	73545
484	69183	73462
485	69272	73263
486	69283	72982
487	69295	72703
488	69307	72425
489	69320	72149
490	69358	71901
491	69446	71704
492	69514	502	69493	69619	503	69494	69691	504	70024	68637
505	70117	68454
506	70497	70179	507	70498	70292	508	70556	68061
509	70747	67972
510	70946	67891
511	71140	67805
512	71205	67596
513	71221	67341
514	71233	67084
515	71506	71275	516	71636	66925
517	71780	66792
518	71916	66651
519	71997	66459
520	7515	72208	6521	7516	72365	67606
517	72659	67609
518	72820	67488
519	72855	67251
520	72942	67062
521	73075	66916
522	73084	6528	7523	73228	6529	7524	73407	6530	7525	73572	6531	7526	73688	6532	7527	73842	66011
528	74038	65921
529	74194	65795
530	74415	65726
531	74596	65622
532	74775	65516
533	74942	65399
534	75106	65279
535	75195	65094
536	75319	64940
537	75467	64806
538	75664	64715
539	75812	64581
540	75966	64452
541	76095	64301
542	76281	64200
543	76431	64067
544	76685	64021
545	76864	63913
546	76975	63747
547	77069	63568
548	77308	63508
549	77466	63381
550	77706	63321
551	77825	63163
552	77993	63043
553	78097	62872
554	78247	62738
555	78270	62504
556	78470	62409
557	78724	62358
558	78900	62245
559	79055	62115
560	79203	61979
561	79332	61828
562	79409	61637
563	79652	61575
564	79770	61416
565	79888	61257
566	79954	61058
567	80103	60923
568	80246	60784
569	80458	60697
570	80508	60487
571	80600	60309
572	80635	60089
573	80646	59852
574	80726	59667
575	80740	59434
576	80751	59198
577	80843	59024
578	80881	58810
579	80978	578	80580	81155	579	81581	81384	58451
582	81469	581	81470	58513
582	81692	58431
583	81894	58335
584	82058	58212
585	82236	58099
586	82450	58010
587	82534	57830
588	82620	57652
589	82670	57448
590	82592	82828	56848
593	83006	56735
594	83165	56608
595	83309	56471
596	83416	56309
597	83572	56181
598	83723	56048
599	83887	55924
600	84001	55767
601	84130	55621
602	84275	55485
603	84376	55319
604	84569	55214
605	84734	55091
606	85004	55036
607	85115	54877
608	85214	54711
609	85327	54553
610	85513	54443
611	85732	54353
612	85930	54249
613	86069	54108
614	86319	54037
615	86453	53892
616	86586	53748
617	86678	53578
618	87045	53577
619	87187	53437
620	87398	53339
621	87563	53213
622	87697	53068
623	87840	52929
624	87968	52781
625	88066	52614
626	88179	52457
627	88383	52354
628	88606	52262
629	88725	52108
630	88737	51892
631	88751	51677
632	88798	51483
633	88934	51340
634	89053	51187
635	89224	51065
636	89355	50920
637	89468	50764
638	89657	50651
639	89752	50485
640	89833	50312
641	89847	50101
642	90104	50026
643	90174	49847
644	90335	49719
645	90345	49508
646	90356	49298
647	9644	90113	4648	9645	90232	4649	9646	90497	49374
647	90654	49244
648	90795	49105
649	90949	48973
650	91061	48817
651	91174	48663
652	91294	48513
653	91510	48414
654	91624	48260
655	91788	48133
656	91981	48020
657	92164	47903
658	92368	47796
659	92676	47742
660	92825	47606
661	93009	47488
662	93223	47385
663	93261	47192
664	93274	46987
665	93440	46860
666	93577	46718
667	93691	46565
668	93875	46446
669	93894	46246
670	94105	46140
671	94286	46020
672	94314	45825
673	94334	45627
674	94562	45530
675	94675	45376
676	94734	45198
677	94750	44999
678	95027	44924
679	95080	44743
680	95347	44663
681	95542	44549
682	95621	44380
683	95765	44242
684	95945	44120
685	96222	44043
686	96357	43900
687	96590	43802
688	96735	43664
689	96856	43515
690	96997	43374
691	97200	43262
692	97392	43144
693	97528	43002
694	97629	42844
695	97845	42737
696	97957	42584
697	98108	42447
698	98273	42318
699	98294	42126
700	98309	41932
701	98323	41738
702	98368	41558
703	98451	41394
704	98708	98653	705	98709	98827	706	98866	40973
707	99042	40848
708	99093	40671
709	99277	40550
710	99384	40396
711	99715	99518	712	99716	99798	39390
717	99963	39261
718	100121715	100719	100276716	100374	39618
717	100534	39485
718	100732	39368
719	100723	100889720	100724	101086721	101725	101211722	101726	101346723	101727	101485	37917
728	101606	37771
729	101867	37677
730	101991	37531
731	102201	37418
732	102389	37295
733	102578	37174
734	102642	37006
735	102653	36821
736	102802	36685
737	102962	36552
738	103122	36420
739	103240	36273
740	103440	36155
741	103611	36026
742	103823	35912
743	103938	35763
744	104005	35599
745	104218	35484
746	104325	35333
747	104492	35203
748	104747	35102
749	104945	34981
750	105057	34832
751	105206	34695
752	105420	34580
753	105512	34424
754	105616	34272
755	105699	34114
756	105813	33966
757	105939	33822
758	106018	33663
759	106155	33522
760	106365	33405
761	106547	33278
762	106750	33158
763	106871	33012
764	107007	32871
765	107071	32708
766	107245	32579
767	107487	32470
768	107622	32328
769	107823	32207
770	108040	32089
771	108157	31943
772	108266	31793
773	108408	31654
774	108473	31492
775	108669	31368
776	108773	31218
777	108983	31098
778	109257	30995
779	109353	30843
780	109438	30687
781	109660	30570
782	109838	30440
783	110052	30320
784	110268	30200
785	110445	30070
786	110528	29914
787	110736	29792
788	110888	29654
789	110935	29489
790	111151	29368
791	111317	29234
792	111539	29115
793	111650	28967
794	111773	28822
795	111865	28669
796	112078	28547
797	112223	28407
798	112303	28251
799	112458	28114
800	112539	27959
801	112785	27844
802	112888	27694
803	113065	27563
804	113217	27425
805	113405	27296
806	113634	27176
807	113715	27021
808	113797	26866
809	113811	26696
810	113855	26533
811	114002	26394
812	114063	26236
813	114303	26118
814	114494	25989
815	114609	25843
816	114681	25687
817	114700	25520
818	114746	25359
819	114921	25226
820	115064	25087
821	115098	24924
822	115110	24756
823	115121	24589
824	115133	24422
825	115179	24263
826	115270	24113
827	115440	23980
828	115599	23845
829	115830	23724
830	115943	23579
831	116183	23460
832	116308	23317
833	116325	23153
834	116515	23023
835	116625	22878
836	116767	22739
837	116885	22596
838	117093	22469
839	117269	22337
840	117365	22189
841	117566	22061
842	117828	21944
843	118028	21815
844	118199	21681
845	118315	21537
846	118385	21384
847	118434	21228
848	118671	21106
849	118842	20972
850	119000	20835
851	119187	20703
852	119275	20555
853	119478	20426
854	119545	20273
855	119784	20150
856	120018	20026
857	120185	19890
858	120301	19746
859	120431	19605
860	120588	19467
861	120730	19328
862	120823	19180
863	120920	19033
864	120991	18883
865	121068	18733
866	121172	18588
867	121304	18447
868	121456	18309
869	121636	18175
870	121713	18026
871	121899	17893
872	122052	17755
873	122216	17619
874	122341	17477
875	122430	17330
876	122647	17201
877	122752	17056
878	122961	16926
879	123068	16782
880	123162	16635
881	123266	16491
882	123480	16361
883	123641	16224
884	123758	16081
885	123947	15948
886	124165	15818
887	124335	15681
