iter	Passed	Remaining
400	82507	123246
401	82708	123034
402	82977	122921
403	83225	122777
404	83487	122654
405	83713	122476
406	83769	122052
407	8407	84257	122255
408	84622	122277
409	84906	122182
410	85151	122029
411	85307	121749
412	85411	121396
413	85435	120930
414	85650	120736
415	85928	120630
416	86236	120565
417	86561	120523
418	86729	120261
419	86986	120123
420	87347	120128
421	87576	119951
422	87758	119708
423	87967	119503
424	88325	119499
425	88592	119371
426	88833	119208
427	88996	118938
428	89152	118661
429	89339	118427
430	89511	118172
431	89699	117938
432	89963	117804
433	90107	117513
434	90553	117615
435	90777	117428
436	90986	117221
437	91290	117135
438	91451	116865
439	91696	116704
440	91825	116395
441	92024	116175
442	92308	116062
443	92511	115848
444	92740	115665
445	93076	115614
446	93246	115358
447	93267	114918
448	93287	114479
449	93311	114047
450	93593	113930
451	93905	113850
452	94162	113702
453	94311	113422
454	94438	113119
455	94636	112899
456	94871	112724
457	94940	112352
458	95050	112030
459	95238	111801
460	95480	111636
461	95741	111491
462	95872	111195
463	96008	110906
464	96189	110669
465	96443	110516
466	96529	110172
467	96647	109863
468	96977	109797
469	97256	109671
470	97297	109278
471	97403	108959
472	97638	108785
473	97811	108541
474	97928	108236
475	98102	107995
476	98388	107877
477	98619	107697
478	98725	107381
479	98745	106974
480	98946	106762
481	99126	106530
482	99395	106392
483	99526	106107
484	99547	105704
485	99566	105303
486	99617	104935
487	99659	104561
488	99678	104163
489	99696	103766
490	99766	103424
491	99917	103166
492	100027	102868
493	100201	102635
494	100349	102376
495	100394	102013
496	100442	101655
497	100789	101598
498	100995	101400
499	101290	101290
500	101541	101136
501	101930	101118
502	102181	100962
503	102384	100759
504	102730	100696
505	102857	100418
506	103117	100269
507	103450	100192
508	103466	99807
509	103482	99424
510	103582	99123
511	103760	988951512	103845	9858514	103892	97840
515	103966	97518
516	104095	97249
51516	104446	9757518	104504	96852
519	104798	96737
520	105081	96610
521	105260	96388
522	105533	96251
523	105757	96069
524	105916	95829
525	106045	95561
526	106322	95427
527	106569	95266
528	106954	95227
529	107245	95104
530	107416	94874
531	107595	94651
532	107613	94287
533	107664	93954
53533	108014	942553534	108131	939853535	108310	937653536	108624	936553537	108782	93415
538	108953	931854539	109214	930354540	109504	92906
541	109690	92690
542	109940	925254543	110123	923054544	110355	921354545	110579	919454546	110847	917954547	111079	9162549	111240	91015
550	111398	90776
551	111659	90621
55551	112132	9100553	112148	90285
55553	112471	90545
554	112675	9034556	112573	89533
55556	112970	898455557	113146	896255558	113350	894256559	113633	892856560	113944	891656561	114159	889756562	114484	88862
563	114667	88643
564	114758	8835566	114740	87623
567	114948	87425
568	115313	87346
569	115536	87159
570	115809	87009
571	116033	86822
572	116112	86527
573	116261	86284
57573	116528	8648575	116526	85776
576	116896	85696
57576	117155	858857577	117351	856757578	117625	855258579	117837	8533581	117857	84646
