bdt_cut,N_total,sigma_N_total,N_over_sigma,acp_unc,acp_Ds_unc
0.62,23050.664111887425,207.6481290057054,111.00829187463604,0.008224837295378885,0.005800360086136998
0.63,22684.855582512188,215.13987322269895,105.44235823282412,0.008275055511319929,0.005831434368445833
0.64,22529.532214876355,213.0556783579559,105.74480994129796,0.008268530481244915,0.005847583556479595
0.65,22424.363351823842,211.43632781955603,106.05728723666276,0.008250343983542002,0.005855387105200005
0.66,22357.075057185968,209.73486959852198,106.59684343372305,0.00821874491733133,0.0058578678297724895
0.67,22195.653473704384,207.6993266576992,106.86434968700759,0.008208204623203874,0.005872254117480241
0.68,22072.48435932374,205.73082387799695,107.28817365944747,0.008191550630390433,0.0058883870331281896
0.69,21871.611397802888,203.48266578424955,107.48636161958444,0.008192309477867536,0.005908893079265516
0.7,21625.936879742774,201.02713070058417,107.57720514825978,0.008201005803616181,0.005932168516446193
0.71,21486.763166998553,198.94021389663976,108.006132828238,0.00818482646710033,0.005954435623458973
0.72,21339.26908879069,196.7497819305645,108.45892117085847,0.008170918995935092,0.005977749134450587
0.73,21122.86948798466,194.33823444028712,108.69126988222654,0.008176000416319275,0.006004611295967861
0.74,20936.396217567108,192.1515292123786,108.9577392560161,0.00817176206744849,0.006041487806951552
0.75,20736.250958684413,189.88751119171866,109.20281607013216,0.00816975125279012,0.0060750066435669645
0.76,20453.835162987292,187.29527611624144,109.20635900231134,0.008187746554502143,0.006111554178708421
0.77,20178.230022267875,184.7251694665938,109.23378812174786,0.008200416383608012,0.006153391098953916
0.78,19890.96944663811,181.83398869806842,109.39082175481865,0.008214506498474721,0.006200829870356868
0.79,19584.264788982175,179.10425595887136,109.34561372723276,0.008236927185477664,0.00626071278456225
0.8,14999.999999999998,650.4686105000528,23.06029800341731,0.009020554548570607,0.006498768613392903
0.81,18813.816134083045,172.99821752800017,108.75150277798663,0.008314611216542542,0.006401265859334204
0.82,18373.705256481197,170.4158311270985,107.81689198099109,0.008371984048649788,0.006490083223632599
0.83,17933.03268155257,167.62979456240464,106.97998365008151,0.00842232580329683,0.006600008847624947
0.84,17388.877647405257,162.67094539606478,106.8960262391511,0.00850967586961648,0.00672721685641068
0.85,16832.950227742145,158.98359223251646,105.87853747274525,0.008605207950303322,0.0068780680689040155
0.86,16109.484038531986,154.68363531781142,104.14472096827569,0.008753213899225943,0.007059748305925755
0.87,15438.383043583834,150.68205895102892,102.45667699962374,0.008885800903176175,0.007280572389021918
0.88,14580.58665275936,145.88307288207943,99.94707655044515,0.009092979651552624,0.007559462703328433
0.89,13608.372298655227,138.71725749191864,98.10150910349435,0.009363603526790488,0.007876330408144831
0.9,12647.123009641276,132.75387792370748,95.26744685311166,0.00966814153046954,0.008296692718006905
